"TechStack","Portfolio_Link"
"React.js, Node.js, MongoDB, Express.js","https://example.com/react-fullstack-portfolio"
"Next.js, TypeScript, TailwindCSS, Supabase","https://example.com/nextjs-portfolio"
"Angular, .NET Core, SQL Server, Azure","https://example.com/angular-dotnet-portfolio"
"Vue.js, Nuxt.js, Firebase, Firestore","https://example.com/vue-firebase-portfolio"
"Python, Django, PostgreSQL, REST API","https://example.com/django-portfolio"
"Flask, Python, Redis, Celery","https://example.com/flask-backend-portfolio"
"Java, Spring Boot, Hibernate, Oracle","https://example.com/java-spring-portfolio"
"Kotlin, Spring Boot, PostgreSQL","https://example.com/kotlin-spring-portfolio"
"Flutter, Dart, Firebase, GraphQL","https://example.com/flutter-portfolio"
"React Native, Expo, Node.js, MongoDB","https://example.com/react-native-portfolio"
"Swift, iOS, Core Data, UIKit","https://example.com/ios-portfolio"
"Android, Java, Room, Retrofit","https://example.com/android-java-portfolio"
"Kotlin, Android, Firebase, Jetpack Compose","https://example.com/kotlin-android-portfolio"
"Cross-platform, Xamarin, C#, Azure","https://example.com/xamarin-portfolio"
"PHP, Laravel, MySQL, Apache","https://example.com/laravel-portfolio"
"WordPress, PHP, WooCommerce, MySQL","https://example.com/wordpress-portfolio"
"Magento, PHP, MySQL, ElasticSearch","https://example.com/magento-ecommerce-portfolio"
"Shopify, Liquid, GraphQL, JavaScript","https://example.com/shopify-portfolio"
"Data Engineering, Spark, Delta Lake, Airflow","https://example.com/data-engineering-portfolio"
"Machine Learning, Python, TensorFlow, Scikit-learn","https://example.com/ml-portfolio"
"Deep Learning, PyTorch, CNN, Transformers","https://example.com/deep-learning-portfolio"
"Computer Vision, OpenCV, YOLO, TensorFlow","https://example.com/computer-vision-portfolio"
"Natural Language Processing, Python, LangChain, Llama 3","https://example.com/nlp-portfolio"
"Data Science, Pandas, Matplotlib, Jupyter","https://example.com/data-science-portfolio"
"Cloud, AWS, Lambda, DynamoDB, S3","https://example.com/aws-portfolio"
"GCP, BigQuery, Dataflow, Vertex AI","https://example.com/gcp-portfolio"
"Azure, Synapse, Data Factory, Power BI","https://example.com/azure-data-portfolio"
"DevOps, Jenkins, Docker, Kubernetes","https://example.com/devops-portfolio"
"CI/CD, GitHub Actions, Terraform, Ansible","https://example.com/cicd-portfolio"
"MLOps, MLflow, Docker, Airflow","https://example.com/mlops-portfolio"
"Blockchain, Solidity, Ethereum, Web3.js","https://example.com/blockchain-portfolio"
"IoT, Raspberry Pi, MQTT, Node-RED","https://example.com/iot-portfolio"
"Cybersecurity, Kali Linux, Nmap, Wireshark","https://example.com/cybersecurity-portfolio"
"Automation, Selenium, Python, Playwright","https://example.com/automation-portfolio"
"Testing, Cypress, Jest, Postman","https://example.com/testing-portfolio"
"Frontend, TypeScript, Angular, RxJS","https://example.com/frontend-angular-portfolio"
"Backend, Node.js, Express, PostgreSQL","https://example.com/backend-node-portfolio"
"Full Stack, MERN (MongoDB, Express, React, Node)","https://example.com/mern-portfolio"
"Full Stack, MEAN (MongoDB, Express, Angular, Node)","https://example.com/mean-portfolio"
"Full Stack, PERN (PostgreSQL, Express, React, Node)","https://example.com/pern-portfolio"
"Full Stack, LAMP (Linux, Apache, MySQL, PHP)","https://example.com/lamp-portfolio"
"AI Agent, LangChain, FastAPI, ChromaDB","https://example.com/ai-agent-portfolio"
"Chatbot, Rasa, FastAPI, OpenAI API","https://example.com/chatbot-portfolio"
"ETL, Kafka, Spark, Delta Lake","https://example.com/etl-pipeline-portfolio"
"Realtime Streaming, Kafka, Spark Structured Streaming, Cassandra","https://example.com/streaming-portfolio"
"Business Intelligence, Power BI, Tableau, SQL","https://example.com/bi-portfolio"
"Data Analytics, Excel, Python, Pandas","https://example.com/data-analytics-portfolio"
"GIS, QGIS, GeoPandas, PostGIS","https://example.com/gis-portfolio"
"Big Data, Hadoop, Hive, Spark, HDFS","https://example.com/bigdata-portfolio"
"AI Web App, Next.js, Flask, OpenAI API","https://example.com/ai-webapp-portfolio"